Excluir,impressaoEtiqueta,D001_Id,D009_Id,D049_Id,D024_Id,foto,D001_Codigo_Barras,D001_Flag_Ativo,D001_Flag_Pre_Cadastro,D049_Flag_Curva_ABC,D049_Flag_Curva_ABC_Qtd,D001_Codigo_Barra1,D049_Modelo,D001_Aplicacao,"ifnull(D069_D070_Id,""_"")",validades,D049_Codigo_Produto,C008_Tipo,D060_Descricao_Grupo,D003_Nome_Linha,D002_Descricao_Produto,D082_Marca,D049_Origem_Mercadoria,NCM,D001_D005_Id,D037_Unidade,D009_Quantidade_Estoque,Pedido,D009_Quantidade_Estoque_Loja,D009_Quantidade_Estoque_Fora,D009_Quantidade_OP,D009_Valor_Custo_Unitario,ST,D049_Flag_Tipo,D004_Local,D024_Nome_Empresa,C004_Nome_Empresa,D001_Flag_Tipo,D009_IPV_1,C007_Primeiro_Nome,D009_C007_Id_Comprador,D009_Data_Alteracao_Custo,D009_Flag_Custo_Utilizado,D001_C008_Id,D001_D060_Id,D001_D003_Id,D001_D002_Id,D049_D024_Id,D001_C004_Id,D009_Origem_Mercadoria,D001_Flag_Ecommerce,D001_Flag_Etiqueta_Pedido,D001_Qte_Embalagem,D049_Flag_Nao_Comprar,D009A_Id,D009A_Ficha_Conteudo_Importacao,D001A_Id,linkImagem,D001_Cubagem_Unitaria,Etiqueta,D001_Codigo_Produto,D001_Descricao_Produto,D049_D082_Id,D001_D037_Id,D009_Quantidade_Estoque_Similar,D009_Quantidade_OC,infoCustoVendaProduto,D009_Data_Ultima_Entrada,D009_Data_Ultima_Venda,D001_Flag_Tipo_Item,D009A_Qtd_Liquida_Fora	+ D009_Quantidade_Estoque_Liquido,(D009_Quantidade_Estoque) + (D009A_Qtd_Fisica_Fora),D001A_Quantidade_Estoque_Tray,D001_Peso_Unitario_Kg,D009_Preco_1,D001_Peso_Unitario_Bruto,D001_Quantidade_Tributavel,D009_Preco_4
,,34,67,34,,,000034,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,BEDIM,TECMATER,0,62014000-I,13112,PC,0.00,0.00,0.00,0.00,0.00000,26.90000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,5,6,0,,,N,N,0.000,N,119,,1846,,0.000000,,3062,"AVENTAL PRETO BEDIM 1,20 X 0,70  CA: 30410 - TECMATER",61,3,0.00,0.00000,,0000-00-00,0000-00-00,00,0.0000000,0.0000000,0.00,0.000,40.3500000000,0.000,0.000,45.7300000000
,,35,69,35,,,000035,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,PVC,MAICOL,0,62014000-I,13112,PC,0.00,0.00,0.00,0.00,0.00000,7.24000,,CP,GERAL,,,COMPRADO,0.0000,,0,2026-03-19 00:00:00,MA,1,1,5,7,0,,,N,N,0.000,N,120,,891,,0.000000,,383,"AVENTAL PVC BRANCO 1,15X0,65 CA: 37729 - MAICOL",36,3,0.00,110.00000,,2025-11-18,2026-02-18,00,0.0000000,0.0000000,0.00,0.000,10.8600000000,0.000,0.000,12.3080000000
,,36,71,36,,,000036,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,PVC,MAICOL,0,62014000-I,13112,PC,0.00,0.00,0.00,0.00,0.00000,11.33000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,5,7,0,,,N,N,0.000,N,121,,1554,,0.000000,,1531,AVENTAL PVC BRANCO FORRADO/COURVIN CA: 46.984 - MAICOL,36,3,0.00,0.00000,,0000-00-00,2025-04-09,00,0.0000000,0.0000000,0.00,0.000,16.9950000000,0.000,0.000,19.2610000000
,,49,97,49,,,000049,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,TREVIRA,SAFEX,0,42032900-I,13108,PC,0.00,0.00,0.00,0.00,0.00000,32.90000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,5,8,0,,,N,N,0.000,N,134,,6085,,0.000000,,1867,"AVENTAL TREVIRA AZUL/PRETO 1,20X0,80 - SAFEX",48,3,0.00,0.00000,,0000-00-00,0000-00-00,00,0.0000000,0.0000000,0.00,0.000,49.3500000000,0.000,0.000,55.9300000000
,,53,105,53,,,000053,S,N,D,D,,,,_,,,GERAL,GERAL,ACESSORIOS,GERAL,COFEPI,0,63090010-I,13130,PC,0.00,0.00,0.00,0.00,0.00000,2.50000,,CP,GERAL,,,COMPRADO,1.0000,,0,0000-00-00 00:00:00,MA,1,1,6,35,,,,N,N,0.000,N,138,,,,0.000000,,1435,BANDA DE SUOR P/MASCARA DE SOLDA - COFEPI,15,3,0.00,0.00000,,0000-00-00,2025-03-07,00,0.0000000,0.0000000,,0.000,3.7500000000,0.000,,4.2500000000
,,56,111,56,,,000056,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,GERAL,INNPRO,0,64019200-I,13155,PR,0.00,0.00,0.00,0.00,0.00000,30.25000,,CP,GERAL,,,COMPRADO,1.0000,,0,2024-11-28 00:00:00,MA,1,1,7,35,,,,N,N,0.000,N,141,,,,0.000000,,1779-34/35,BOTA PVC BRANCA CANO LONGO CA:36026- INNPRO - 34/35,24,1,48.00,0.00000,,0000-00-00,2025-07-25,00,0.0000000,0.0000000,,0.000,45.3750000000,0.000,,51.4250000000
,,69,137,69,,,000069,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,GERAL,INNPRO,0,64019200-I,13155,PR,0.00,0.00,0.00,0.00,0.00000,28.30000,,CP,GERAL,,,COMPRADO,0.0000,,0,2024-11-28 00:00:00,MA,1,1,7,35,0,,,N,N,0.000,N,154,,478,,0.000000,,1780-36/37,BOTA PVC BRANCA CANO MEDIO CA:36025 - INNPRO - 36/37,24,1,-179.00,0.00000,,2025-08-13,2025-06-11,00,0.0000000,0.0000000,0.00,0.000,42.4500000000,0.000,0.000,48.1100000000
,,71,141,71,,,000071,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,GERAL,INNPRO,0,64019200-I,13155,PR,1.00,1.00,0.00,-1.00,0.00000,28.30000,,CP,GERAL,,,COMPRADO,1.0000,,0,2024-11-28 00:00:00,MA,1,1,7,35,,,,N,N,0.000,N,156,,,,0.000000,,1780-39,BOTA PVC BRANCA CANO MEDIO CA:36025 - INNPRO - 39,24,1,-180.00,0.00000,,0000-00-00,2026-03-30,00,0.0000000,0.0000000,,0.000,42.4500000000,0.000,,48.1100000000
,,76,151,76,,,000076,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,GERAL,INNPRO,0,64019200-I,13155,PR,0.00,0.00,0.00,0.00,0.00000,28.30000,,CP,GERAL,,,COMPRADO,1.0000,,0,2024-11-28 00:00:00,MA,1,1,7,35,,,,N,N,0.000,N,161,,,,0.000000,,1780-44/45,BOTA PVC BRANCA CANO MEDIO CA:36025 - INNPRO - 44/45,24,1,-179.00,0.00000,,0000-00-00,2025-06-11,00,0.0000000,0.0000000,,0.000,42.4500000000,0.000,,48.1100000000
,,84,167,84,,,000084,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,BOTA,INNPRO,0,64041900-I,13099,PR,26.00,26.00,0.00,-26.00,0.00000,27.91000,,CP,GERAL,,,COMPRADO,1.0000,,0,2025-08-13 00:00:00,U,1,1,7,9,,,,N,N,0.000,N,169,,,,0.000000,,1767-42,BOTA PVC PRETA CANO LONGO CA:36026 - INNPRO - 42,24,1,293.00,0.00000,,2025-10-27,2026-05-15,00,0.0000000,0.0000000,,0.000,41.8650000000,0.000,,47.4470000000
